Monat;Differenz
01.01.2010;-430093760
01.02.2010;-486769457
01.03.2010;-615362049
01.04.2010;-127899718
01.05.2010;1000846878
01.06.2010;1440319051
01.07.2010;1970055357
01.08.2010;848461405
01.09.2010;196770687
01.10.2010;297949066
01.11.2010;-148977520
01.12.2010;-163211355
01.01.2011;-554266123
01.02.2011;-647911550
01.03.2011;-818995471
01.04.2011;61924357
01.05.2011;598057885
01.06.2011;639663830
01.07.2011;1461776667
01.08.2011;316216930
01.09.2011;926732560
01.10.2011;383312045
01.11.2011;-223406722
01.12.2011;-419742500
01.01.2012;-340288079
01.02.2012;-560455596
01.03.2012;-484784375
01.04.2012;116310872
01.05.2012;1702432435
01.06.2012;1735799582
01.07.2012;2583533553
01.08.2012;1311204075
01.09.2012;361761130
01.10.2012;122668219
01.11.2012;174933202
01.12.2012;-85794866
01.01.2013;-69328689
01.02.2013;-43876277
01.03.2013;-547932581
01.04.2013;111263300
01.05.2013;1277823234
01.06.2013;1249524954
01.07.2013;1985602741
01.08.2013;1515598754
01.09.2013;84077634
01.10.2013;687864985
01.11.2013;552816409
01.12.2013;-57290518
01.01.2014;-490103940
01.02.2014;-184601625
01.03.2014;247588494
01.04.2014;810545986
01.05.2014;1537656630
01.06.2014;1502732427
01.07.2014;2363289721
01.08.2014;1462626543
01.09.2014;800415895
01.10.2014;761938714
01.11.2014;770421071
01.12.2014;381648466
01.01.2015;26343206
01.02.2015;-21486618
01.03.2015;-241695519
01.04.2015;297948651
01.05.2015;1993845450
01.06.2015;1950206374
01.07.2015;2061715338
01.08.2015;431559818
01.09.2015;182541299
01.10.2015;106797025
01.11.2015;-122336189
01.12.2015;-615052131
01.01.2016;-866163594
01.02.2016;-474597644
01.03.2016;-433970011
01.04.2016;665068271
01.05.2016;1344617103
01.06.2016;2008236027
01.07.2016;2377679502
01.08.2016;657096036
01.09.2016;349215617
01.10.2016;-973401512
01.11.2016;-1339477831
01.12.2016;-1214202520
01.01.2017;-1313443198
01.02.2017;-1653382216
01.03.2017;-216821045
01.04.2017;194199656
01.05.2017;1106137379
01.06.2017;1609982510
01.07.2017;1919496717
01.08.2017;1573770695
01.09.2017;306766329
01.10.2017;-601524275
01.11.2017;-646784811
01.12.2017;-747499180
01.01.2018;-377821811
01.02.2018;-108051611
01.03.2018;-660456528
01.04.2018;902521676
01.05.2018;2618044569
01.06.2018;2311129402
01.07.2018;2289619153
01.08.2018;1764163394
01.09.2018;498035150
01.10.2018;-437683687
01.11.2018;-93006979
01.12.2018;-66725809
01.01.2019;-20665100
01.02.2019;-397151151
01.03.2019;-159827896
01.04.2019;724283566
01.05.2019;942629083
01.06.2019;1969609152
01.07.2019;3390890198
01.08.2019;3050366210
01.09.2019;1330805918
01.10.2019;1358652287
01.11.2019;785808360
01.12.2019;398219448
01.01.2020;352889260
01.02.2020;261784820
01.03.2020;714235615
01.04.2020;1154100308
01.05.2020;1879487695
01.06.2020;1953828079
01.07.2020;2040119075
01.08.2020;1825441115
01.09.2020;1554364602
01.10.2020;1068517438
01.11.2020;444460943
01.12.2020;-259668090
01.01.2021;-9162737
01.02.2021;114455186
01.03.2021;125467535
